run,elapsed_ms,window_title,focus_resolvable,is_password
1,3,"Delima-AutoLogin - Antigravity IDE - README.md",true,false
1,179,"Untitled - Google Chrome",true,false
1,363,"Untitled - Google Chrome",true,false
1,483,"Untitled - Google Chrome",true,false
1,600,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,705,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,820,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,924,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1040,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1145,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1255,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1369,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1475,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1583,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1691,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1793,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1897,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2004,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2117,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2230,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2341,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2445,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2558,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2672,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2783,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2899,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3008,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3123,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3238,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3351,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3458,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3564,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3673,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3790,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3893,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3996,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4105,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4211,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4318,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4426,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4530,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,4640,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
