run,label,password_length,method,success,window_ready_ms,detail,machine,os
1,plain-lower,10,sendinput,True,339,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
2,plain-mixed,10,sendinput,True,265,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
3,digits-symbols-ok,11,sendinput,True,327,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
4,plus,10,sendinput,True,311,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
5,caret,10,sendinput,True,325,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
6,percent,10,sendinput,True,333,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
7,tilde,10,sendinput,True,330,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
8,parens,11,sendinput,True,248,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
9,braces,11,sendinput,True,324,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
10,brackets,11,sendinput,True,322,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
11,all-reserved,19,sendinput,True,323,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
12,moe-style,15,sendinput,True,334,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
13,plain-lower,10,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
14,plain-mixed,10,sendinput,True,327,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
15,digits-symbols-ok,11,sendinput,True,322,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
16,plus,10,sendinput,True,228,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
17,caret,10,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
18,percent,10,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
19,tilde,10,sendinput,True,315,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
20,parens,11,sendinput,True,316,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
21,braces,11,sendinput,True,314,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
22,brackets,11,sendinput,True,321,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
23,all-reserved,19,sendinput,True,326,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
24,moe-style,15,sendinput,True,316,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
25,plain-lower,10,sendinput,True,327,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
26,plain-mixed,10,sendinput,True,333,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
27,digits-symbols-ok,11,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
28,plus,10,sendinput,True,309,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
29,caret,10,sendinput,True,324,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
30,percent,10,sendinput,True,313,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
31,tilde,10,sendinput,True,315,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
32,parens,11,sendinput,True,314,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
33,braces,11,sendinput,True,334,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
34,brackets,11,sendinput,True,327,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
35,all-reserved,19,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
36,moe-style,15,sendinput,True,325,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
37,plain-lower,10,sendinput,True,338,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
38,plain-mixed,10,sendinput,True,239,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
39,digits-symbols-ok,11,sendinput,True,336,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
40,plus,10,sendinput,True,327,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
41,caret,10,sendinput,True,316,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
42,percent,10,sendinput,True,328,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
43,tilde,10,sendinput,True,329,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
44,parens,11,sendinput,True,318,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
45,braces,11,sendinput,True,336,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
46,brackets,11,sendinput,True,334,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
47,all-reserved,19,sendinput,True,320,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
48,moe-style,15,sendinput,True,319,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
49,plain-lower,10,sendinput,True,317,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
50,plain-mixed,10,sendinput,True,330,"blockinput_denied",SABLE,"Microsoft Windows NT 10.0.26200.0"
