run,label,password_length,method,success,window_ready_ms,detail,machine,os
1,plain-lower,10,sendkeys,True,969,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
2,plain-mixed,10,sendkeys,True,785,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
3,digits-symbols-ok,11,sendkeys,True,794,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
4,plus,10,sendkeys,False,689,"LEN_9_OF_10 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
5,caret,10,sendkeys,False,656,"LEN_8_OF_10 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
6,percent,10,sendkeys,False,547,"LEN_8_OF_10 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
7,tilde,10,sendkeys,False,654,"LEN_9_OF_10 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
8,parens,11,sendkeys,False,663,"LEN_9_OF_11 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
9,braces,11,sendkeys,False,684,"SENDKEYS_THREW: ArgumentException: Keyword "2026" is not valid.",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
10,brackets,11,sendkeys,False,655,"LEN_16_OF_11 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
11,all-reserved,19,sendkeys,False,658,"LEN_7_OF_19 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
12,moe-style,15,sendkeys,False,658,"LEN_14_OF_15 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
13,plain-lower,10,sendkeys,True,664,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
14,plain-mixed,10,sendkeys,True,666,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
15,digits-symbols-ok,11,sendkeys,True,766,"blockinput_denied",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
16,plus,10,sendkeys,False,570,"LEN_9_OF_10 - Google Chrome",PEP-BBA8105-18,"Microsoft Windows NT 10.0.22621.0"
