run,elapsed_ms,window_title,focus_resolvable,is_password
1,2,"Delima-AutoLogin - Antigravity IDE - README.md",true,false
1,163,"Delima-AutoLogin - Antigravity IDE - README.md",true,false
1,280,"Untitled - Google Chrome",true,false
1,409,"Untitled - Google Chrome",true,false
1,519,"Untitled - Google Chrome",true,false
1,625,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,740,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,847,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,949,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1056,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1164,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1275,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1380,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1482,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1595,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1709,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1822,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,1934,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2042,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2145,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2262,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2369,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2483,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2592,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2701,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2813,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,2918,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3029,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3137,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3242,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3345,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3455,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3563,"DELIMa 3.0 Digital Educational Learning Initiative Malaysia - Google Chrome",true,false
1,3667,"Delima-AutoLogin - Antigravity IDE - README.md",true,false
